ts_epoch,rss_kb,fd_count
1771611797,29392,150
1771611800,18064,150
1771611802,28736,150
1771611804,29200,150
1771611806,33680,150
1771611808,44544,153
1771611810,59536,151
1771611812,50704,151
1771611814,53680,150
1771611816,56320,152
1771611818,53664,152
1771611821,76416,154
1771611823,36240,152
1771611825,75424,152
1771611827,18512,154
1771611829,186864,158
1771611831,93600,155
1771611833,74736,154
1771611836,52272,154
1771611838,98080,154
1771611840,63088,154
1771611842,59328,154
1771611844,63360,154
1771611846,63056,152
1771611848,63456,152
1771611850,59360,152
1771611852,104832,154
1771611854,84544,153
1771611856,53968,153
1771611858,58784,153
1771611860,60016,153
1771611862,99024,155
1771611865,123440,155
1771611867,59888,156
1771611869,63744,155
1771611871,63376,155
1771611873,60512,156
1771611875,59056,155
1771611877,65760,151
1771611879,71120,150
1771611881,58640,150
1771611883,63968,149
1771611885,56800,149
1771611887,51904,148
1771611890,55088,148
1771611892,56960,148
1771611894,57744,147
1771611896,59520,148
1771611898,88496,149
1771611900,74416,149
1771611902,83440,150
1771611904,90144,151
1771611906,69904,150
1771611908,72800,149
1771611910,72384,149
1771611912,64048,149
1771611915,62208,149
1771611917,62288,149
1771611919,61344,149
1771611921,57728,149
1771611923,53968,149
1771611925,53616,149
1771611927,52992,149
1771611929,52480,149
1771611931,51792,150
1771611933,60272,149
1771611935,68000,150
1771611937,61696,150
1771611939,65792,152
1771611941,64368,152
1771611944,198752,152
1771611946,199648,152
1771611948,199072,152
1771611950,149840,152
1771611952,119904,152
1771611954,94640,150
1771611956,96704,150
1771611958,100704,151
1771611960,91872,150
1771611962,98080,153
1771611964,90352,150
1771611966,90400,151
1771611969,85696,149
1771611971,82496,150
1771611973,80864,150
1771611975,80864,150
1771611977,73280,150
1771611979,94800,149
1771611981,90656,149
1771611983,66528,149
1771611985,59120,150
1771611987,61328,149
1771611989,61344,149
1771611991,61392,149
1771611993,63888,150
1771611996,63952,150
1771611998,65168,150
1771612000,65120,150
1771612002,63296,150
1771612004,59472,150
1771612006,49984,150
1771612008,50272,149
1771612010,49184,149
1771612012,48608,149
1771612014,44992,149
1771612016,54672,148
1771612018,66176,148
1771612021,65568,149
1771612023,105056,149
1771612025,101696,149
1771612027,93904,150
1771612029,94560,150
1771612031,66064,150
1771612033,63232,150
1771612035,58128,150
1771612037,60848,148
1771612039,61584,148
1771612041,62080,148
1771612043,103776,150
1771612045,85344,151
1771612048,29456,151
1771612050,51648,151
1771612052,73472,151
1771612054,73632,151
1771612056,73728,152
1771612058,74256,150
1771612060,62368,150
1771612062,64304,150
1771612064,58128,150
1771612066,55024,150
1771612068,54448,151
1771612071,51728,151
1771612073,56512,151
1771612075,59184,151
1771612077,69296,150
1771612079,58336,149
1771612081,53520,150
1771612083,55200,149
1771612085,55648,149
1771612087,56288,150
1771612089,43872,150
1771612091,54544,149
1771612094,50480,149
1771612096,196832,151
1771612098,199984,151
1771612100,90912,151
1771612102,74448,151
1771612104,60736,152
1771612106,60352,153
1771612108,56192,152
1771612110,57840,151
1771612112,71696,152
1771612114,68560,152
1771612116,81408,154
1771612118,95168,152
1771612121,92256,152
1771612123,88912,152
1771612125,112640,152
1771612127,53152,152
1771612129,55360,153
1771612131,99328,153
1771612133,100512,152
1771612135,53472,152
1771612137,65456,153
1771612139,58928,152
1771612141,51104,152
1771612143,60560,152
1771612146,58832,152
1771612148,105664,152
1771612150,104656,151
1771612152,92256,151
1771612154,56864,151
1771612156,128816,153
1771612158,117344,153
1771612160,49456,153
1771612162,80496,154
1771612164,78512,153
1771612166,61952,154
1771612168,61664,153
1771612170,27360,154
1771612173,58576,152
1771612175,56016,154
1771612177,51152,152
1771612179,44704,153
1771612181,23808,152
1771612184,28992,152
1771612186,27616,152
1771612188,27808,152
1771612190,27824,152
1771612192,64768,152
1771612194,72464,152
1771612196,73792,151
1771612198,56624,149
1771612200,54720,149
1771612202,35680,149
1771612205,59824,150
1771612207,63072,150
1771612209,67216,150
1771612211,71904,151
1771612213,226608,151
